日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,古亭,AMB_TEMP,21.0,21.0,21.0,21.0,20.0,20.0,20.0,21.0,22.0,24.0,25.0,26.0,27.0,27.0,27.0,26.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0
2017/01/01,古亭,CH4,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0
2017/01/01,古亭,CO,0.35,0.37,0.24,0.2,0.22,0.21,0.23,0.27,0.29,0.23,0.19,0.21,0.22,0.22,0.21,0.24,0.25,0.28,0.33,0.35,0.3,0.48,0.62,0.68
2017/01/01,古亭,NMHC,0.07,0.08,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.09,0.07,0.12,0.17,0.21
2017/01/01,古亭,NO,1.8,2.1,1.7,0.9,1.0,1.1,1.6,2.5,3.8,3.2,2.4,2.6,2.9,2.7,2.4,2.6,2.4,1.9,2.0,2.2,1.9,4.6,7.4,5.9
2017/01/01,古亭,NO2,9.6,13.0,8.6,5.7,6.4,6.8,11.0,14.0,13.0,7.7,5.5,6.5,7.0,7.4,6.9,9.4,10.0,12.0,15.0,17.0,14.0,26.0,29.0,27.0
2017/01/01,古亭,NOx,11.0,15.0,10.0,6.6,7.4,7.9,12.0,16.0,17.0,11.0,7.9,9.1,9.9,10.0,9.3,12.0,13.0,14.0,17.0,19.0,16.0,30.0,36.0,33.0
2017/01/01,古亭,O3,35.0,32.0,36.0,39.0,37.0,36.0,33.0,30.0,32.0,38.0,41.0,41.0,40.0,40.0,42.0,38.0,36.0,33.0,30.0,28.0,30.0,19.0,15.0,11.0
2017/01/01,古亭,PM10,18.0,21.0,19.0,14.0,15.0,13.0,12.0,13.0,16.0,19.0,21.0,21.0,17.0,17.0,21.0,19.0,20.0,18.0,19.0,19.0,23.0,18.0,19.0,24.0
2017/01/01,古亭,PM2.5,15.0,13.0,12.0,10.0,13.0,10.0,14.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,15.0,13.0,13.0,15.0,15.0,11.0,17.0,11.0
2017/01/01,古亭,RAINFALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/01/01,古亭,RH,73.0,74.0,72.0,72.0,75.0,76.0,76.0,74.0,69.0,63.0,57.0,52.0,51.0,50.0,52.0,56.0,60.0,65.0,65.0,66.0,64.0,63.0,63.0,67.0
2017/01/01,古亭,SO2,1.0,1.2,1.2,1.2,1.1,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.3,1.2,1.3,1.4,1.4,1.6,1.8
2017/01/01,古亭,THC,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,1.9,2.0,2.1,2.2
2017/01/01,古亭,WD_HR,89.0,83.0,73.0,77.0,76.0,77.0,77.0,79.0,80.0,91.0,87.0,94.0,110.0,107.0,90.0,99.0,96.0,80.0,88.0,90.0,97.0,86.0,114.0,213.0
2017/01/01,古亭,WIND_DIREC,81.0,83.0,76.0,78.0,72.0,78.0,78.0,81.0,76.0,84.0,81.0,95.0,117.0,106.0,101.0,107.0,83.0,80.0,101.0,95.0,88.0,110.0,206.0,234.0
2017/01/01,古亭,WIND_SPEED,2.7,2.5,2.5,2.8,3.2,3.2,3.4,2.8,3.2,3.2,3.3,3.4,3.0,2.8,3.1,3.0,2.0,2.1,2.1,1.8,1.4,1.5,0.9,1.0
2017/01/01,古亭,WS_HR,2.6,2.2,2.5,2.8,2.7,2.9,2.8,2.5,2.7,3.2,3.3,2.9,2.7,2.9,2.7,2.7,2.0,2.1,1.9,1.7,1.7,1.1,0.7,1.0
2017/01/02,古亭,AMB_TEMP,20.0,20.0,19.0,19.0,19.0,18.0,18.0,18.0,19.0,21.0,23.0,24.0,25.0,24.0,25.0,24.0,24.0,23.0,22.0,22.0,21.0,21.0,21.0,22.0
2017/01/02,古亭,CH4,2.1,2.1,1.9,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/02,古亭,CO,0.9,0.85,0.44,0.36,0.39,0.39,0.47,0.52,0.54,0.43,0.45,0.42,0.55,0.44,0.44,0.45,0.4,0.5,0.54,0.49,0.47,0.57,0.55,0.38
2017/01/02,古亭,NMHC,0.33,0.38,0.12,0.14,0.18,0.17,0.17,0.17,0.18,0.12,0.14,0.11,0.18,0.13,0.13,0.13,0.1,0.14,0.16,0.13,0.12,0.16,0.14,0.09
2017/01/02,古亭,NO,18.0,16.0,5.5,1.3,1.6,2.3,14.0,17.0,18.0,7.8,4.7,3.2,2.9,2.7,2.1,2.3,2.3,2.8,2.5,3.2,2.8,5.1,3.2,2.2
2017/01/02,古亭,NO2,31.0,29.0,18.0,15.0,14.0,17.0,19.0,16.0,16.0,15.0,16.0,14.0,21.0,15.0,15.0,22.0,21.0,27.0,28.0,26.0,25.0,31.0,28.0,18.0
2017/01/02,古亭,NOx,48.0,45.0,23.0,16.0,15.0,19.0,33.0,32.0,34.0,22.0,21.0,17.0,24.0,18.0,17.0,24.0,23.0,30.0,31.0,30.0,28.0,36.0,31.0,21.0
2017/01/02,古亭,O3,2.1,1.7,10.0,10.0,9.0,9.0,4.2,4.5,7.8,22.0,37.0,46.0,59.0,58.0,61.0,50.0,41.0,28.0,23.0,24.0,24.0,17.0,20.0,27.0
2017/01/02,古亭,PM10,21.0,36.0,17.0,17.0,16.0,31.0,30.0,18.0,23.0,27.0,37.0,32.0,53.0,55.0,47.0,51.0,39.0,37.0,32.0,33.0,33.0,37.0,30.0,32.0
2017/01/02,古亭,PM2.5,18.0,26.0,19.0,13.0,14.0,26.0,19.0,16.0,15.0,15.0,23.0,20.0,32.0,35.0,32.0,30.0,26.0,25.0,25.0,22.0,20.0,27.0,22.0,17.0
2017/01/02,古亭,RAINFALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/01/02,古亭,RH,75.0,78.0,78.0,80.0,80.0,85.0,84.0,83.0,78.0,70.0,65.0,58.0,57.0,65.0,65.0,66.0,70.0,73.0,77.0,79.0,83.0,83.0,80.0,77.0
2017/01/02,古亭,SO2,1.9,1.4,1.0,0.7,1.1,1.8,1.0,1.1,1.2,0.9,1.0,0.9,1.6,2.1,1.8,4.6,2.7,3.6,3.3,3.1,2.9,1.9,1.7,1.1
2017/01/02,古亭,THC,2.4,2.5,2.1,2.2,2.2,2.2,2.2,2.2,2.1,2.0,2.0,2.0,2.1,2.0,2.0,2.0,2.0,2.0,2.1,2.0,2.0,2.1,2.1,2.0
2017/01/02,古亭,WD_HR,230.0,211.0,186.0,224.0,209.0,194.0,173.0,176.0,191.0,197.0,154.0,228.0,319.0,319.0,320.0,99.0,101.0,78.0,73.0,92.0,91.0,70.0,67.0,73.0
2017/01/02,古亭,WIND_DIREC,245.0,213.0,176.0,232.0,235.0,171.0,171.0,174.0,200.0,199.0,163.0,257.0,325.0,319.0,322.0,97.0,92.0,66.0,80.0,92.0,88.0,71.0,59.0,84.0
